trace_name,station,true_s_sample,raw_s_peak_count,max_s_sample,max_s_probability,nearest_raw_s_sample,nearest_raw_s_probability,nearest_raw_s_error_samples,nearest_raw_s_abs_error_s,nearest_raw_s_within_near_samples,normal_picker_s_sample,normal_picker_s_error_samples,normal_picker_s_abs_error_s
FIA0.HE_20251008061255_HH_EV,FIA0,3042,1,3073,0.41285330057144165,3073,0.41285330057144165,-31,0.31,True,3073,,
VAF.HE_20251203192730_HH_EV,VAF,4451,1,4479,0.47460123896598816,4479,0.47460123896598816,-28,0.28,True,4479,,
SGF.FN_20250713191951_BH_EV,SGF,5236,2,5289,0.29084038734436035,5289,0.29084038734436035,-53,0.53,False,5289,,
OUL.FN_20250630062950_BH_EV,OUL,5497,2,5998,0.14550402760505676,5445,0.1305915117263794,52,0.52,False,,,
RNF.FN_20250131023126_BH_EV,RNF,5395,2,5378,0.23857173323631287,5378,0.23857173323631287,17,0.17,True,5378,17,0.17
KAF.HE_20250115090333_HH_EV,KAF,4297,1,4301,0.21689459681510925,4301,0.21689459681510925,-4,0.04,True,4301,-4,0.04
OBF3.HE_20250412203522_HH_EV,OBF3,5305,1,5325,0.4063715934753418,5325,0.4063715934753418,-20,0.2,True,5325,-20,0.2
KIF.HE_20250524115324_HH_EV,KIF,2104,1,2089,0.3774794340133667,2089,0.3774794340133667,15,0.15,True,2089,15,0.15
KMNF.FN_20250301012411_BH_EV,KMNF,3150,2,3225,0.2169044315814972,3225,0.2169044315814972,-75,0.75,False,3225,,
FIA0.HE_20250828130419_HH_EV,FIA0,4652,2,5430,0.17866846919059753,5430,0.17866846919059753,-778,7.78,False,,,
TOF.HE_20251228223151_HH_EV,TOF,3486,1,3347,0.13573792576789856,3347,0.13573792576789856,139,1.39,False,,,
VAF.HE_20250710233939_HH_EV,VAF,2947,1,2940,0.24834388494491577,2940,0.24834388494491577,7,0.07,True,2940,7,0.07
LOVF.HE_20250715001510_CH_EV,LOVF,3594,1,3575,0.47797083854675293,3575,0.47797083854675293,19,0.19,True,3575,19,0.19
KU1.HE_20250120005055_SH_EV,KU1,4158,1,4225,0.41782307624816895,4225,0.41782307624816895,-67,0.67,False,4225,,
